CaloAX,CaloAY,CaloBX,CaloBY,CaloCX,CaloCY,CaloDX,CaloDY,StartingCalo
0.5,4.5,3.5,3.5,6.5,2.5,8.5,1.5,6
0.5,1.5,3.5,3.5,6.5,4.5,5.5,4.5,9
0.5,3.5,1.5,3.5,4.5,4.5,7.5,2.5,1
0.5,4.5,0.5,4.5,4.5,4.5,8.5,1.9657202055242011,3
2.5,3.5,0.5,1.5,2.5,0.5,6.5,1.5,6
0.5,1.5,2.5,0.5,6.5,1.5,8.5,2.5,7
0.5,2.5,3.5,2.5,8.5,4.5,1.5,0.5,8
2.5,0.5,6.5,1.5,8.5,2.5,6.5,2.5,8
0.5,3.5,4.5,3.5,6.5,2.5,7.5,0.5,20
0.5,4.5,0.5,4.5,5.5,3.5,6.5,4.5,1
0.5,1.5,0.5,2.5,2.5,2.5,6.5,4.5,3
1.5,1.5,2.5,1.5,4.5,2.5,6.5,3.5,7
0.5,2.5,2.5,2.5,6.5,2.5,8.5,0.5,9
0.5,1.5,1.5,2.5,5.5,2.5,4.5,2.5,23
0.5,4.5,0.5,4.5,4.5,4.5,8.5,3.5,3
4.5,3.5,7.5,3.5,7.5,4.5,5.5,4.5,11
0.5,3.5,1.5,3.5,5.5,3.5,6.5,1.5,23
0.5,3.5,6.5,2.5,8.5,2.5,3.5,0.5,6
1.5,3.5,7.5,2.5,8.5,2.5,7.5,1.5,8
0.5,1.5,4.5,1.5,4.5,1.5,3.5,0.5,9
0.5,2.5,3.5,2.5,6.5,3.5,4.5,5.5,14
0.5,1.5,0.5,1.5,2.5,0.5,8.5,1.5,14
0.5,1.5,2.5,2.5,6.5,3.5,6.5,2.5,4
0.5,2.5,0.5,3.5,2.5,2.5,6.5,0.5,13
0.5,1.5,3.5,3.5,7.5,2.5,8.5,0.5,14
0.5,3.5,4.5,2.5,6.499999999999998,3.004992486887003,4.5,4.5,21
0.5,2.5,7.5,3.5,8.5,2.5,5.5,0.5,2
0.5,3.5,4.5,3.5,6.5,1.5,8.5,0.5,7
0.5,1.5,0.5,2.5,2.5,2.5,5.5,1.5,22
0.5,1.5,4.5,3.5,6.5,4.5,7.5,5.5,9
0.5,2.5,4.5,2.5,7.5,3.5,8.5,3.5,9
0.5,1.5,1.5,1.5,6.5,1.5,8.5,0.5,17
0.5,2.5,0.5,2.5,4.5,3.5,8.5,1.5,23
0.5,3.5,3.5,4.5,7.5,3.5,6.5,4.5,10
0.5,2.5,3.5,3.5,5.5,4.5,8.5,5.5,4
3.5,2.5,6.5,0.5,0.5,5.5,7.5,5.5,5
0.5,1.5,2.5,2.5,5.5,4.5,8.5,5.5,19
1.5,3.5,3.5,2.5,7.5,3.5,8.5,2.5,6
0.5,3.5,4.5,3.5,7.5,2.5,7.078960773899998,2.5,4
3.5,2.5,8.5,3.5,8.5,3.5,6.5,4.5,4
2.5,4.5,5.5,2.5,6.5,2.5,5.5,1.5,5
0.5,3.5,3.5,3.5,7.5,2.5,8.5,0.5,9
0.5,2.5,1.5,4.5,6.5,3.5,6.5,5.5,23
0.5,4.5,2.5,5.5,0.5,3.5,2.5,1.5,4
0.5,3.5,2.5,5.5,4.5,4.5,7.5,5.5,5
0.5,1.5,0.5,1.5,3.5,3.5,8.5,5.5,11
0.5,2.5,2.5,3.5,4.5,4.5,7.5,4.5,10
